x,y,Label
0.468665, 0.97511,1
0.0824434, 0.105258,1
0.938169, 0.0860085,1
0.352422, 0.179957,1
0.353747, 0.180794,1
0.458921, 0.284369,1
0.487688, 0.2276,1
0.523983, 0.339746,1
0.416801, 0.322845,1
0.51714, 0.440485,1
0.425493, 0.452667,1
0.447262, 0.535716,1
0.523522, 0.485981,1
0.507007, 0.635206,1
0.485249, 0.511943,1
0.474797, 0.682087,1
0.462255, 0.652966,1
0.478932, 0.661688,1
0.523751, 0.670668,1
0.44028, 0.77246,1
0.512816, 0.695531,1
0.483752, 0.704637,1
0.504466, 0.768419,1
0.510892, 0.778023,1
0.534848, 0.755933,1
0.546479, 0.582542,1
0.515877, 0.602845,1
0.62783, 0.520026,1
0.622599, 0.498199,1
0.633393, 0.421796,1
0.674982, 0.46956,1
0.662569, 0.399254,1
0.667353, 0.393413,1
0.67891, 0.311401,1
0.690075, 0.267952,1
0.665256, 0.310589,1
0.712309, 0.267808,1
0.66983, 0.246765,1
0.645034, 0.220851,1
0.522064, 0.179021,1
0.517424, 0.22874,1
0.517309, 0.235911,1
0.425216, 0.24269,1
0.249562, 0.186917,1
0.316849, 0.14842,1
0.273294, 0.244219,1
0.281211, 0.174144,1
0.308134, 0.120508,1
0.265033, 0.187394,1
0.28799, 0.215131,1
0.270927, 0.257508,1
0.242728, 0.183616,1
0.371588, 0.297414,1
0.401513, 0.305545,1
0.396272, 0.430044,1
0.453301, 0.428304,1
0.464385, 0.577352,1
0.441844, 0.51789,1
0.43072, 0.557387,1
0.439541, 0.537378,1
0.508101, 0.678273,1
0.357401, 0.539134,1
0.349777, 0.418727,1
0.276841, 0.358924,1
0.273592, 0.364545,1
0.306751, 0.309375,1
0.295643, 0.2898,1
0.256848, 0.36478,1
0.307749, 0.281535,1
0.220671, 0.235942,1
0.19863, 0.259878,1
0.197566, 0.215159,1
0.223394, 0.166344,1
0.26758, 0.207549,1
0.120424, 0.184493,1
0.177965, 0.167644,1
0.223886, 0.212261,1
0.180084, 0.149763,1
0.144069, 0.17432,1
0.162493, 0.153011,1
0.165294, 0.211518,1
0.224626, 0.129216,1
0.240381, 0.171976,1
0.262564, 0.190369,1
0.475441, 0.148346,1
0.460614, 0.0804282,1
0.530799, 0.0942706,1
0.555474, 0.111881,1
0.531603, 0.130215,1
0.606382, 0.169834,1
0.536872, 0.192321,1
0.639838, 0.129772,1
0.682711, 0.14237,1
0.683079, 0.0842033,1
0.731004, 0.133093,1
0.704229, 0.175636,1
0.651071, 0.145301,1
0.811901, 0.154975,1
0.747024, 0.248944,1
0.744767, 0.129201,1
0.742469, 0.146207,1
0.742979, 0.0860794,1
0.74734, 0.175424,1
0.825328, 0.0991467,1
0.868389, 0.211397,1
0.816445, 0.133885,1
0.835142, 0.169742,1
0.859149, 0.261091,1
0.774299, 0.361391,1
0.710377, 0.306287,1
0.743963, 0.380981,1
0.695836, 0.39448,1
0.734659, 0.502937,1
0.67501, 0.499047,1
0.642924, 0.537501,1
0.730142, 0.477488,1
0.680423, 0.532159,1
0.672127, 0.633016,1
0.593462, 0.542851,1
0.552469, 0.610433,1
0.636843, 0.567869,1
0.63553, 0.65659,1
0.558907, 0.682712,1
0.63042, 0.648486,1
0.586274, 0.668367,1
0.568292, 0.619527,1
0.529326, 0.657738,1
0.52968, 0.876543,1
0.511815, 0.840549,1
0.484576, 0.81092,1
0.352963, 0.648512,1
0.393246, 0.587025,1
0.397536, 0.540124,1
0.381201, 0.573719,1
0.309315, 0.545913,1
0.374898, 0.528823,1
0.387527, 0.452694,1
0.272239, 0.512997,1
0.33585, 0.46466,1
0.261968, 0.469826,1
0.276298, 0.468571,1
0.205691, 0.374574,1
0.241955, 0.387519,1
0.226958, 0.317854,1
0.287471, 0.29249,1
0.258707, 0.302598,1
0.276908, 0.272001,1
0.179223, 0.241879,1
0.136671, 0.316251,1
0.153485, 0.257377,1
0.167713, 0.276019,1
0.136724, 0.153009,1
0.196807, 0.152325,1
0.135393, 0.131579,1
0.175915, 0.157774,1
0.208888, 0.107242,1
0.204149, 0.120963,1
0.290503, 0.0630806,1
0.281589, 0.122159,1
0.285889, 0.128853,1
0.426295, 0.10537,1
0.538596, 0.0951281,1
0.658812, 0.0796671,1
0.770113, 0.0715024,1
0.821496, 0.0549092,1
0.788679, 0.0971538,1
0.767574, 0.0591965,1
0.781138, 0.0419864,1
0.750558, 0.0928262,1
0.895635, 0.135812,1
0.797781, 0.204628,1
0.84158, 0.320047,1
0.763607, 0.324618,1
0.820104, 0.455196,1
0.778022, 0.403944,1
0.71642, 0.488557,1
0.729496, 0.553738,1
0.711685, 0.571809,1
0.739553, 0.602935,1
0.725181, 0.623667,1
0.684095, 0.640956,1
0.647285, 0.697038,1
0.640778, 0.727978,1
0.586343, 0.769189,1
0.613419, 0.822696,1
0.593818, 0.784003,1
0.584122, 0.786165,1
0.59358, 0.848064,1
0.52743, 0.903432,1
0.510128, 0.840516,1
0.57703, 0.964403,1
0.517839, 0.889534,1
0.554365, 0.982525,1
0.495333, 0.896277,1
0.438643, 0.85639,1
0.424006, 0.778811,1
0.3313, 0.673994,1
0.284726, 0.670435,1
0.276552, 0.636892,1
0.311136, 0.573542,1
0.227977, 0.653255,1
0.241521, 0.593942,1
0.212351, 0.522937,1
0.231205, 0.550194,1
0.224527, 0.474246,1
0.198361, 0.507138,1
0.14374, 0.431438,1
0.189563, 0.323485,1
0.191349, 0.378604,1
0.179573, 0.404477,1
0.22216, 0.315581,1
0.189994, 0.329746,1
0.147785, 0.305646,1
0.276141, 0.315343,1
0.105183, 0.242519,1
0.118496, 0.172905,1
0.133797, 0.203807,1
0.0749179, 0.174792,1
0.190586, 0.144347,1
0.0848112, 0.195131,1
0.0901787, 0.2036,1
0.120738, 0.1266,1
0.134108, 0.0989795,1
0.0766105, 0.193913,1
0.355046, 0.813898,1
0.400014, 0.825711,1
0.403557, 0.84983,1
0.461446, 0.81899,1
0.426087, 0.814523,1
0.426968, 0.853009,1
0.417799, 0.844009,1
0.376966, 0.751324,1
0.297516, 0.782444,1
0.339306, 0.702649,1
0.316563, 0.684786,1
0.274693, 0.675856,1
0.326834, 0.663884,1
0.284343, 0.672509,1
0.619588, 0.310421,1
0.561853, 0.226313,1
0.571978, 0.268759,1
0.460502, 0.126215,1
0.50103, 0.0833873,1
0.480844, 0.184255,1
0.434187, 0.150007,1
0.448379, 0.160063,1
0.433995, 0.179002,1
0.411599, 0.207867,1
0.333297, 0.2237,1
0.403166, 0.318466,1
0.394349, 0.415772,1
0.403842, 0.389284,1
0.366037, 0.388801,1
0.307381, 0.376861,1
0.205405, 0.448766,1
0.25335, 0.444669,1
0.0749179, 0.174792,2
0.0766105, 0.193913,2
0.0824434, 0.105258,2
0.14374, 0.431438,2
0.227977, 0.653255,2
0.290503, 0.0630806,2
0.297516, 0.782444,2
0.468665, 0.97511,2
0.554365, 0.982525,2
0.57703, 0.964403,2
0.781138, 0.0419864,2
0.820104, 0.455196,2
0.938169, 0.0860085,2
