x,y
0.22863140896245457,0.9077353149327672
0.09068227694792083,0.6923779193205944
0.1534800161485668,0.27249115357395604
0.4633508276140493,0.2135385704175513
0.657920872022608,0.08841472045293697
0.8236657246669358,0.18466383581033252
0.8669035123132822,0.6069568294409058
0.7783689947517157,0.8463765038924275
0.5652684699232943,0.9029228591648973
0.436584578118692,0.6899716914366596
0.2728986677432378,0.5648478414720453
0.4314372224465079,0.3915994338287332
0.6970407751312071,0.3422717622080679
0.7021881308033912,0.6105661712668082
0.5817400080742834,0.745314932767162
