x,y,Label
0.0866257, 0.0487911,1
0.116883, 0.0403362,1
0.0522145, 0.173304,1
0.153972, 0.122293,1
0.148921, 0.162236,1
0.186339, 0.239378,1
0.211542, 0.274712,1
0.237614, 0.290804,1
0.228454, 0.189283,1
0.189577, 0.330636,1
0.310963, 0.362767,1
0.312023, 0.432586,1
0.341604, 0.404435,1
0.39885, 0.492281,1
0.395835, 0.466342,1
0.403766, 0.507612,1
0.407022, 0.485692,1
0.422375, 0.470105,1
0.40697, 0.562786,1
0.472806, 0.554325,1
0.466831, 0.576637,1
0.504548, 0.586245,1
0.496131, 0.578039,1
0.585225, 0.652875,1
0.655934, 0.678029,1
0.623222, 0.708638,1
0.525696, 0.681086,1
0.654434, 0.656012,1
0.643175, 0.76532,1
0.669845, 0.706684,1
0.716562, 0.665691,1
0.693271, 0.751849,1
0.727702, 0.791891,1
0.717941, 0.840895,1
0.6679, 0.749399,1
0.756183, 0.818872,1
0.769484, 0.788524,1
0.756989, 0.873257,1
0.80259, 0.841714,1
0.811621, 0.965601,1
0.78076, 0.868505,1
0.762361, 0.867793,1
0.773272, 0.82218,1
0.847046, 0.961535,1
0.789005, 0.900344,1
0.826144, 0.870172,1
0.529915, 0.388189,1
0.547497, 0.426547,1
0.5942, 0.389761,1
0.594555, 0.378861,1
0.565137, 0.457705,1
0.631668, 0.380982,1
0.560223, 0.338302,1
0.564222, 0.374775,1
0.602737, 0.351269,1
0.642111, 0.307605,1
0.695671, 0.354994,1
0.55789, 0.338122,1
0.621684, 0.320408,1
0.669689, 0.367516,1
0.824541, 0.983853,2
-0.00885522, 0.143479,2
0.240591, -0.103896,2
1.07399, 0.736478,2
0.824541, 0.983853,2
