x,y,Label
0.235849, 0.796733,1
0.236176, 0.848942,1
0.221836, 0.791852,1
0.216804, 0.808367,1
0.167594, 0.790314,1
0.212641, 0.732285,1
0.248687, 0.758364,1
0.214387, 0.795673,1
0.200526, 0.734254,1
0.234867, 0.791667,1
0.200019, 0.787049,1
0.24576, 0.737977,1
0.296701, 0.78931,1
0.290439, 0.797705,1
0.321759, 0.766163,1
0.259141, 0.31634,1
0.282533, 0.335821,1
0.28987, 0.339079,1
0.253762, 0.35501,1
0.234222, 0.308482,1
0.2435, 0.314216,1
0.358183, 0.308286,1
0.315444, 0.249412,1
0.220284, 0.302592,1
0.266917, 0.285865,1
0.259638, 0.290803,1
0.252782, 0.292732,1
0.276776, 0.264833,1
0.284478, 0.236619,1
0.367535, 0.289115,1
0.687085, 0.543036,1
0.684563, 0.463039,1
0.6759, 0.575572,1
0.718071, 0.600281,1
0.646053, 0.538392,1
0.656517, 0.551844,1
0.671823, 0.536897,1
0.72462, 0.491627,1
0.672446, 0.597444,1
0.627732, 0.494162,1
0.685154, 0.58189,1
0.696331, 0.518857,1
0.61313, 0.502016,1
0.678291, 0.617557,1
0.684979, 0.522362,1
0.394773, 0.507552,1
0.423333, 0.585963,1
0.436847, 0.529186,1
0.403731, 0.553817,1
0.429073, 0.570133,1
0.369678, 0.604468,1
0.348736, 0.551518,1
0.449578, 0.574276,1
0.372523, 0.574837,1
0.391994, 0.578069,1
0.361432, 0.577732,1
0.356584, 0.574964,1
0.404443, 0.559509,1
0.86103, 0.351228,1
0.865353, 0.28542,1
0.866678, 0.273023,1
0.938539, 0.332083,1
0.916296, 0.232002,1
0.920319, 0.316477,1
0.794398, 0.269498,1
0.891614, 0.365482,1
-0.042157, 0.615499,2
0.542462, -0.0815393,2
0.981257, 0.286486,2
0.396638, 0.983524,2
-0.042157, 0.615499,2
