x0,x1,label
0.185765,0.966664,2
0.150700,0.857805,2
0.113443,0.933563,2
0.162449,0.904038,2
0.165635,0.932948,2
0.133875,0.869103,2
0.072236,0.941510,2
0.089020,0.829130,2
0.157813,0.835324,2
0.099307,0.902500,2
0.074654,0.801856,2
0.098171,0.819902,2
0.063875,0.863731,2
0.097209,0.822584,2
0.097383,0.846383,2
0.130538,0.820992,2
0.081244,0.842507,2
0.069952,0.800926,2
0.003386,0.829615,2
0.157730,0.759918,2
0.111132,0.772582,2
0.117685,0.758268,2
0.090602,0.776171,2
0.073932,0.747506,2
0.073141,0.734846,2
0.032284,0.683550,2
0.000000,0.729384,2
0.095664,0.729235,2
0.140682,0.689384,2
0.132649,0.643161,2
0.174252,0.707197,2
0.136918,0.673356,2
0.199918,0.707951,2
0.175926,0.662442,2
0.215598,0.735454,2
0.206199,0.721417,2
0.119493,0.769130,2
0.179595,0.776316,2
0.212590,0.758501,2
0.183436,0.813640,2
0.221422,0.842021,2
0.188170,0.819036,2
0.220732,0.818314,2
0.174775,0.805132,2
0.124638,0.834651,2
0.183454,0.897132,2
0.177096,0.866696,2
0.262880,0.897989,2
0.182831,0.764766,2
0.147831,0.860158,2
0.106934,0.786085,2
0.120027,0.768387,2
0.176722,0.778487,2
0.170738,0.690289,2
0.166856,0.679310,2
0.100714,0.682287,2
0.185084,0.708354,2
0.131464,0.653821,2
0.185920,0.681643,2
0.146583,0.659718,2
0.201985,0.665339,2
0.242766,0.715774,2
0.205061,0.730580,2
0.235368,0.800238,2
0.162319,0.831534,2
0.228409,0.738699,2
0.218567,0.825980,2
0.257759,0.845209,2
0.187428,0.856768,2
0.215117,0.829676,2
0.212780,0.823053,2
0.171231,0.778417,2
0.201188,0.857836,2
0.213719,0.876146,2
0.247113,0.907692,2
0.131725,0.947470,2
0.184893,0.946446,2
0.166344,0.892286,2
0.137944,0.924114,2
0.102131,0.906919,2
0.112229,0.884161,2
0.085660,0.905347,2
0.122220,0.850913,2
0.118147,0.825521,2
0.049566,0.797652,2
0.088048,0.757760,2
0.067953,0.743210,2
0.063522,0.820347,2
0.064952,0.725331,2
0.075148,0.691787,2
0.053560,0.682791,2
0.057879,0.667834,2
0.120944,0.686797,2
0.118698,0.720333,2
0.143956,0.729057,2
0.024681,0.814748,2
0.116513,0.628933,2
0.153229,0.784289,2
0.134828,0.718915,2
0.209017,0.720368,2
0.106212,0.795279,2
0.145734,0.747998,2
0.136580,0.718210,2
0.135677,0.769839,2
0.161771,0.697901,2
0.070328,0.666505,2
0.170146,0.715017,2
0.162211,0.634970,2
0.126317,0.681607,2
0.135699,0.587402,2
0.193466,0.634000,2
0.165172,0.647302,2
0.155271,0.656679,2
0.261946,0.702868,2
0.234739,0.696073,2
0.350794,0.763269,2
0.328728,0.719189,2
0.268955,0.725033,2
0.334152,0.827321,2
0.252714,0.848380,2
0.260487,0.807958,2
0.191099,0.865922,2
0.303094,0.841219,2
0.263381,0.911828,2
0.265819,0.923171,2
0.158036,0.881707,2
0.211499,0.907776,2
0.317938,0.922195,2
0.203796,0.910798,2
0.081993,0.876839,2
0.190323,0.898300,2
0.112184,0.768881,2
0.139820,0.829301,2
0.081146,0.785050,2
0.105452,0.711542,2
0.110054,0.739700,2
0.131944,0.677255,2
0.157169,0.743384,2
0.181745,0.679603,2
0.179982,0.726370,2
0.223472,0.713936,2
0.217982,0.715720,2
0.320001,0.734278,2
0.252680,0.696155,2
0.260356,0.789691,2
0.212956,0.742612,2
0.269606,0.789286,2
0.282513,0.797906,2
0.225179,0.792512,2
0.248935,0.786716,2
0.228566,0.848480,2
0.238621,0.725153,2
0.280007,0.824379,2
0.243203,0.814052,2
0.242263,0.675189,2
0.231764,0.731047,2
0.250112,0.761361,2
0.341347,0.641728,2
0.270197,0.695151,2
0.205922,0.652160,2
0.167941,0.637507,2
0.169912,0.624687,2
0.205865,0.608534,2
0.197691,0.627966,2
0.210104,0.589484,2
0.145926,0.609230,2
0.248097,0.599290,2
0.314058,0.630106,2
0.242859,0.593831,2
0.262476,0.682211,2
0.296246,0.702405,2
0.275135,0.671181,2
0.225479,0.654596,2
0.282633,0.750316,2
0.268590,0.638011,2
0.238971,0.623779,2
0.217842,0.577836,2
0.193523,0.642597,2
0.145455,0.599890,2
0.195142,0.602692,2
0.113307,0.596253,2
0.148747,0.569579,2
0.132017,0.612122,2
0.161317,0.580006,2
0.176313,0.644440,2
0.113905,0.635069,2
0.067554,0.651257,2
0.075053,0.659076,2
0.068097,0.705654,2
0.092589,0.715450,2
0.091382,0.784208,2
0.000000,0.804600,2
0.055512,0.815686,2
0.057854,0.832477,2
0.069849,0.841607,2
0.066114,0.807489,2
0.076952,0.837516,2
0.127945,0.767375,2
0.118555,0.776700,2
0.167218,0.872406,2
0.170469,0.865358,2
0.244167,0.903994,2
0.268217,0.793868,2
0.231505,0.863117,2
0.268831,0.865710,2
0.309777,0.822314,2
0.297515,0.796083,2
0.314099,0.856487,2
0.333530,0.807036,2
0.394477,0.718071,2
0.352454,0.792883,2
0.376939,0.745865,2
0.380509,0.654818,2
0.294691,0.615632,2
0.287632,0.511674,2
0.374997,0.599647,2
0.264968,0.549753,2
0.215637,0.659093,2
0.277127,0.637045,2
0.254934,0.628497,2
0.216555,0.595138,2
0.283270,0.518724,2
0.252810,0.595592,2
0.235326,0.598526,2
0.158539,0.573160,2
0.113522,0.606080,2
0.108849,0.602874,2
0.146623,0.635463,2
0.083672,0.646042,2
0.098453,0.636010,2
0.083902,0.615696,2
0.036133,0.665126,2
0.120697,0.657179,2
0.083826,0.696251,2
0.089767,0.713181,2
0.101113,0.832210,2
0.150627,0.824255,2
0.145496,0.861712,2
0.167530,0.802518,2
0.193346,0.850230,2
0.236299,0.838629,2
0.152060,0.865917,2
0.223800,0.971214,2
0.301670,0.892863,2
0.274852,0.886294,2
0.305044,0.913427,2
0.290000,0.900296,2
0.369662,0.755625,2
0.333725,0.748958,2
0.326401,0.667766,2
0.380113,0.540804,2
0.376948,0.610658,2
0.307993,0.627375,2
0.283843,0.591208,2
0.269446,0.558082,2
0.217604,0.479883,3
0.215425,0.535623,2
0.208513,0.563056,2
0.237686,0.550754,2
0.225514,0.507732,2
0.193081,0.561045,2
0.173892,0.503091,2
0.169460,0.523036,2
0.228279,0.560775,2
0.129535,0.570077,2
0.191939,0.638887,2
0.065059,0.560468,2
