x,y,Class
0.2500489895897122,0.15097664543524414,1
0.1657256582976118,0.21835102618542102,1
0.1147152480097979,0.46498938428874736,1
0.13657685241886103,0.6117692852087757,1
0.24900796080832827,0.8138924274593065,1
0.41349050826699335,0.9053290870488323,1
0.6039987752602572,0.9053290870488323,1
0.7070606246172689,0.8860792639773531,1
0.7934660134721372,0.7970488322717622,1
0.8371892222902634,0.6647062986553431,1
0.8340661359461116,0.5708634111818824,1
0.7840967544396816,0.5311606510969569,1
0.6945682792406614,0.5383793347487615,1
0.5883833435394978,0.5600353857041755,1
0.4811573790569505,0.6358315640481245,1
0.3531108389467239,0.6298159943382873,1
0.29897734231475814,0.5937225760792639,1
0.2625413349663197,0.5215357395612172,1
0.2500489895897122,0.4072399150743099,1
0.25421310471524805,0.2580537862703467,1
0.2531720759338641,0.1858669497523,1
0.492608695652174,0.5540198159943382,2
0.4239007960808329,0.5768789808917197,2
0.38017758726270673,0.5612384996461429,2
0.3437415799142683,0.5095046001415428,2
0.3333312921004287,0.43731776362349606,2
0.35206981016533995,0.3579122434536447,2
0.3687262706674832,0.22797593772116065,2
0.35727495407225973,0.17263269639065815,2
0.32083894672382124,0.1305237084217975,2
0.2927311696264544,0.10405520169851379,2
0.2125719534598898,0.1088676574663835,2
0.0772382118799755,0.16541401273885348,2
0.019981628903857913,0.08480537862703463,2
0.09285364360073484,0.023446567586694944,2
0.28544396815676676,0.010212314225052976,2
0.5998346601347214,0.002993630573248307,2
0.8996509491733008,0.040290162774239136,2
0.9496203306797306,0.17142958244869066,2
0.941292100428659,0.3254281670205237,2
0.9558665033680344,0.43130219391365887,2
0.9704409063074098,0.6310191082802548,2
0.9662767911818739,0.7898301486199575,2
0.918389467238212,0.9005166312809625,2
0.8538456827924067,0.8824699221514508,2
0.847599510104103,0.6683156404812456,2
0.8517636252296388,0.5925194621372964,2
0.7778505817513779,0.4685987261146497,2
0.5894243723208819,0.5083014861995754,2
0.5352908756889161,0.5167232837933475,2
0.4197366809552971,0.3843807501769285,2
0.4239007960808329,0.24241330502477,2
0.47491120636864675,0.02946213729653213,2
0.5675627679118188,0.06194621372965314,2
0.5894243723208819,0.3013658881811747,2
0.8080404164115126,0.36513092710544937,2
0.8496815676668709,0.22677282377919317,2
0.7559889773423148,0.12089879688605798,2
0.6633374157991427,0.17142958244869066,2
0.7351684017146357,0.2736942675159235,2
0.678952847519902,0.40964614295824486,2
0.5311267605633803,0.41686482661004953,2
0.45825474586650344,0.4974734607218684,2
0.49469075321494194,0.22196036801132335,2
0.4884445805266382,0.19067940552016982,2
0.3760134721371709,0.05713375796178333,2
0.894445805266381,0.48303609341825904,2
0.9277587262706676,0.6755343241330503,2
0.9204715248009798,0.7609554140127388,2
0.03247397428046539,0.22075725406935598,1
0.0439252908756889,0.5792852087756546,1
0.039761175750153074,0.8307360226468506,1
0.010612369871402308,0.8740481245576787,1
0.0,0.7814083510261854,1
0.011653398652786265,0.2869285208775654,1
0.10118187385180648,0.6129723991507431,1
0.12928965094917333,0.8812668082094833,1
0.17509491733006738,0.9197664543524416,1
0.38225964482547464,0.945031847133758,1
0.5894243723208819,0.9642816702052371,1
0.46345988977342323,0.8283297947629158,1
0.3406184935701164,0.8307360226468506,1
0.4051622780159217,0.6995966029723991,1
0.6758297611757502,0.7032059447983015,1
0.7788916105327619,0.6286128803963198,1
0.7643172075933865,0.7489242745930644,1
0.5706858542559706,0.8199079971691436,1
0.5394549908144519,0.801861288039632,1
0.1771769748928353,0.769377211606511,1
0.17093080220453158,0.6911748053786271,1
0.20216166564605026,0.5227388535031847,1
0.12928965094917333,0.38799009200283086,1
0.0,0.39400566171266804,1
0.0,0.6647062986553431,1
